Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,UDI
L54804,L,300.6,311.7,1507.0,45.5,74.0,0,0.0,0.0,0.0,0.0,0.0,
L54805,L,300.6,311.7,1556.0,34.9,76.0,0,0.0,0.0,0.0,0.0,0.0,
H37040,H,300.5,311.6,1351.0,53.5,78.0,0,0.0,0.0,0.0,0.0,0.0,
L54807,L,300.5,311.7,1445.0,44.8,83.0,0,0.0,0.0,0.0,0.0,0.0,
L54808,L,300.5,311.7,1619.0,32.7,85.0,0,0.0,0.0,0.0,0.0,0.0,
M22489,M,300.5,311.7,1269.0,64.0,87.0,0,0.0,0.0,0.0,0.0,0.0,
L54810,L,300.5,311.6,1534.0,37.7,90.0,0,0.0,0.0,0.0,0.0,0.0,
L54811,L,300.5,311.6,1444.0,49.3,92.0,0,0.0,0.0,0.0,0.0,0.0,
L54812,L,300.5,311.6,1744.0,26.8,94.0,0,0.0,0.0,0.0,0.0,0.0,
L54813,L,300.4,311.5,1441.0,44.6,96.0,0,0.0,0.0,0.0,0.0,0.0,
M22494,M,300.3,311.3,1506.0,40.7,98.0,0,0.0,0.0,0.0,0.0,0.0,
L54815,L,300.3,311.4,1526.0,38.5,101.0,0,0.0,0.0,0.0,0.0,0.0,
L54816,L,300.4,311.5,1704.0,29.7,103.0,0,0.0,0.0,0.0,0.0,0.0,
H37051,H,300.4,311.4,1445.0,52.4,105.0,0,0.0,0.0,0.0,0.0,0.0,
L54818,L,300.5,311.5,1661.0,35.9,110.0,0,0.0,0.0,0.0,0.0,0.0,
L54819,L,300.5,311.4,1466.0,41.8,112.0,0,0.0,0.0,0.0,0.0,0.0,
L54820,L,300.4,311.3,1608.0,35.1,114.0,0,0.0,0.0,0.0,0.0,0.0,
M22501,M,300.4,311.4,1352.0,57.3,116.0,0,0.0,0.0,0.0,0.0,0.0,
M22502,M,300.4,311.4,1604.0,31.7,119.0,0,0.0,0.0,0.0,0.0,0.0,
H37057,H,300.4,311.4,1427.0,50.7,122.0,0,0.0,0.0,0.0,0.0,0.0,
L54824,L,300.4,311.4,1424.0,44.6,127.0,0,0.0,0.0,0.0,0.0,0.0,
L54825,L,300.4,311.4,1662.0,29.3,129.0,0,0.0,0.0,0.0,0.0,0.0,
L54826,L,300.4,311.4,1936.0,23.9,131.0,0,0.0,0.0,0.0,0.0,0.0,
L54827,L,300.4,311.4,1728.0,31.7,133.0,0,0.0,0.0,0.0,0.0,0.0,
L54828,L,300.4,311.4,1552.0,28.8,135.0,0,0.0,0.0,0.0,0.0,0.0,
H37063,H,300.4,311.5,1662.0,29.0,137.0,0,0.0,0.0,0.0,0.0,0.0,
L54830,L,300.3,311.4,1343.0,57.7,142.0,0,0.0,0.0,0.0,0.0,0.0,
M22511,M,300.4,311.5,1476.0,32.6,144.0,0,0.0,0.0,0.0,0.0,0.0,
L54832,L,300.3,311.4,1346.0,51.1,147.0,0,0.0,0.0,0.0,0.0,0.0,
L54833,L,300.4,311.5,1492.0,44.6,149.0,0,0.0,0.0,0.0,0.0,0.0,
M22514,M,300.3,311.5,1540.0,41.5,151.0,0,0.0,0.0,0.0,0.0,0.0,
L54835,L,300.4,311.5,1596.0,32.5,154.0,0,0.0,0.0,0.0,0.0,0.0,
L54836,L,300.5,311.6,1541.0,47.8,156.0,0,0.0,0.0,0.0,0.0,0.0,
L54837,L,300.5,311.6,1661.0,30.0,158.0,0,0.0,0.0,0.0,0.0,0.0,
M22518,M,300.4,311.6,1359.0,55.4,160.0,0,0.0,0.0,0.0,0.0,0.0,
L54839,L,300.5,311.6,1528.0,42.4,163.0,0,0.0,0.0,0.0,0.0,0.0,
M22520,M,300.5,311.6,1246.0,52.9,165.0,0,0.0,0.0,0.0,0.0,0.0,
L54841,L,300.5,311.6,1575.0,32.5,168.0,0,0.0,0.0,0.0,0.0,0.0,
M22522,M,300.5,311.6,1658.0,30.4,170.0,0,0.0,0.0,0.0,0.0,0.0,
L54843,L,300.5,311.6,1385.0,54.8,173.0,0,0.0,0.0,0.0,0.0,0.0,
H37078,H,300.5,311.7,1454.0,50.3,175.0,0,0.0,0.0,0.0,0.0,0.0,
L54845,L,300.5,311.6,1497.0,40.5,180.0,0,0.0,0.0,0.0,0.0,0.0,
M22526,M,300.6,311.7,1424.0,50.8,182.0,0,0.0,0.0,0.0,0.0,0.0,
L54847,L,300.6,311.7,1528.0,43.9,185.0,0,0.0,0.0,0.0,0.0,0.0,
L54848,L,300.6,311.8,1539.0,37.0,187.0,0,0.0,0.0,0.0,0.0,0.0,
L54849,L,300.7,311.8,1336.0,58.4,189.0,1,0.0,0.0,0.0,1.0,0.0,
L54850,L,300.5,311.6,1525.0,37.6,191.0,0,0.0,0.0,0.0,0.0,0.0,
M22531,M,300.5,311.6,1456.0,51.1,193.0,0,0.0,0.0,0.0,0.0,0.0,
M22532,M,300.5,311.7,2141.0,17.2,196.0,0,0.0,0.0,0.0,0.0,0.0,
M22533,M,300.5,311.6,1476.0,39.1,199.0,0,0.0,0.0,0.0,0.0,0.0,
L54854,L,300.5,311.6,1509.0,47.2,202.0,0,0.0,0.0,0.0,0.0,0.0,
L54855,L,300.5,311.6,1447.0,45.4,204.0,0,0.0,0.0,0.0,0.0,0.0,
L54856,L,300.6,311.7,1448.0,49.1,206.0,0,0.0,0.0,0.0,0.0,0.0,
L54857,L,300.6,311.7,1428.0,52.6,208.0,0,0.0,0.0,0.0,0.0,0.0,
M22538,M,300.6,311.7,1389.0,52.1,210.0,0,0.0,0.0,0.0,0.0,0.0,
L54859,L,300.7,311.7,1635.0,32.4,213.0,0,0.0,0.0,0.0,0.0,0.0,
L54860,L,300.7,311.7,1395.0,43.7,215.0,0,0.0,0.0,0.0,0.0,0.0,
L54861,L,300.7,311.8,1443.0,43.7,217.0,0,0.0,0.0,0.0,0.0,0.0,
M22542,M,300.7,311.7,1412.0,49.1,219.0,0,0.0,0.0,0.0,0.0,0.0,
L54863,L,300.7,311.7,1524.0,43.5,222.0,0,0.0,0.0,0.0,0.0,0.0,
M22544,M,300.7,311.8,1407.0,42.4,224.0,0,0.0,0.0,0.0,0.0,0.0,
L54865,L,300.8,311.7,1397.0,43.5,227.0,0,0.0,0.0,0.0,0.0,0.0,
M22546,M,300.7,311.7,1504.0,36.9,229.0,0,0.0,0.0,0.0,0.0,0.0,
M22547,M,300.7,311.7,2097.0,18.9,232.0,1,1.0,0.0,0.0,0.0,0.0,
L54868,L,300.6,311.7,1553.0,39.8,0.0,0,0.0,0.0,0.0,0.0,0.0,
L54869,L,300.6,311.7,1432.0,39.2,2.0,0,0.0,0.0,0.0,0.0,0.0,
M22550,M,300.5,311.6,1577.0,36.5,4.0,0,0.0,0.0,0.0,0.0,0.0,
M22551,M,300.5,311.5,1370.0,56.1,7.0,0,0.0,0.0,0.0,0.0,0.0,
H37106,H,300.5,311.6,1506.0,36.2,10.0,0,0.0,0.0,0.0,0.0,0.0,
L54873,L,300.6,311.6,1964.0,21.4,15.0,0,0.0,0.0,0.0,0.0,0.0,
H37108,H,300.6,311.7,1500.0,36.7,17.0,0,0.0,0.0,0.0,0.0,0.0,
L54875,L,300.6,311.7,1488.0,47.7,22.0,0,0.0,0.0,0.0,0.0,0.0,
H37110,H,300.6,311.5,1282.0,60.2,24.0,0,0.0,0.0,0.0,0.0,0.0,
L54877,L,300.5,311.4,1400.0,45.1,29.0,0,0.0,0.0,0.0,0.0,0.0,
L54878,L,300.6,311.5,1419.0,38.6,31.0,0,0.0,0.0,0.0,0.0,0.0,
M22559,M,300.7,311.5,1441.0,40.6,33.0,0,0.0,0.0,0.0,0.0,0.0,
M22560,M,300.7,311.6,1348.0,62.5,36.0,0,0.0,0.0,0.0,0.0,0.0,
H37115,H,300.8,311.7,1468.0,38.7,39.0,0,0.0,0.0,0.0,0.0,0.0,
M22562,M,300.7,311.7,1701.0,30.8,44.0,0,0.0,0.0,0.0,0.0,0.0,
H37117,H,300.7,311.7,1864.0,23.6,47.0,0,0.0,0.0,0.0,0.0,0.0,
M22564,M,300.6,311.6,1630.0,31.8,52.0,0,0.0,0.0,0.0,0.0,0.0,
L54885,L,300.5,311.5,1316.0,49.7,55.0,0,0.0,0.0,0.0,0.0,0.0,
L54886,L,300.5,311.5,1708.0,31.2,57.0,0,0.0,0.0,0.0,0.0,0.0,
H37121,H,300.5,311.4,1679.0,27.5,59.0,0,0.0,0.0,0.0,0.0,0.0,
L54888,L,300.5,311.4,1709.0,32.3,64.0,0,0.0,0.0,0.0,0.0,0.0,
L54889,L,300.5,311.4,1445.0,41.5,66.0,0,0.0,0.0,0.0,0.0,0.0,
M22570,M,300.5,311.4,1390.0,51.9,68.0,0,0.0,0.0,0.0,0.0,0.0,
L54891,L,300.4,311.4,1309.0,55.5,71.0,0,0.0,0.0,0.0,0.0,0.0,
L54892,L,300.5,311.5,1499.0,37.6,73.0,0,0.0,0.0,0.0,0.0,0.0,
M22573,M,300.5,311.4,2072.0,18.8,75.0,0,0.0,0.0,0.0,0.0,0.0,
L54894,L,300.5,311.5,1487.0,43.0,78.0,0,0.0,0.0,0.0,0.0,0.0,
L54895,L,300.5,311.5,1302.0,49.6,80.0,0,0.0,0.0,0.0,0.0,0.0,
M22576,M,300.5,311.5,1378.0,48.2,82.0,0,0.0,0.0,0.0,0.0,0.0,
L54897,L,300.5,311.6,1365.0,53.0,85.0,0,0.0,0.0,0.0,0.0,0.0,
H37132,H,300.6,311.7,1427.0,44.6,87.0,0,0.0,0.0,0.0,0.0,0.0,
H37133,H,300.6,311.7,1535.0,33.3,92.0,0,0.0,0.0,0.0,0.0,0.0,
H37134,H,300.5,311.6,1476.0,41.7,97.0,0,0.0,0.0,0.0,0.0,0.0,
L54901,L,300.5,311.6,1425.0,42.4,102.0,0,0.0,0.0,0.0,0.0,0.0,
L54902,L,300.5,311.7,1409.0,54.7,104.0,0,0.0,0.0,0.0,0.0,0.0,
L54903,L,300.5,311.6,1730.0,30.2,106.0,0,0.0,0.0,0.0,0.0,0.0,
M22584,M,300.5,311.6,1454.0,41.4,108.0,0,0.0,0.0,0.0,0.0,0.0,
L54905,L,300.6,311.7,1744.0,26.9,111.0,0,0.0,0.0,0.0,0.0,0.0,
M22586,M,300.8,311.9,1761.0,29.0,113.0,0,0.0,0.0,0.0,0.0,0.0,
M22587,M,300.7,311.9,1657.0,30.9,116.0,0,0.0,0.0,0.0,0.0,0.0,
L54908,L,300.7,311.8,1420.0,47.0,119.0,0,0.0,0.0,0.0,0.0,0.0,
H37143,H,300.7,311.9,1329.0,59.2,121.0,0,0.0,0.0,0.0,0.0,0.0,
L54910,L,300.6,311.9,1472.0,44.2,126.0,0,0.0,0.0,0.0,0.0,0.0,
L54911,L,300.6,312.0,1566.0,30.1,128.0,0,0.0,0.0,0.0,0.0,0.0,
L54912,L,300.6,312.0,1430.0,42.7,130.0,0,0.0,0.0,0.0,0.0,0.0,
L54913,L,300.6,312.0,1481.0,40.9,132.0,0,0.0,0.0,0.0,0.0,0.0,
L54914,L,300.6,312.0,1670.0,29.4,134.0,0,0.0,0.0,0.0,0.0,0.0,
L54915,L,300.6,312.0,1406.0,55.1,136.0,0,0.0,0.0,0.0,0.0,0.0,
H37150,H,300.6,312.1,1354.0,46.9,138.0,0,0.0,0.0,0.0,0.0,0.0,
M22597,M,300.5,312.0,1985.0,19.3,143.0,0,0.0,0.0,0.0,0.0,0.0,
M22598,M,300.5,312.0,1263.0,60.8,146.0,0,0.0,0.0,0.0,0.0,0.0,
L54919,L,300.5,311.9,1576.0,31.1,149.0,0,0.0,0.0,0.0,0.0,0.0,
L54920,L,300.5,312.0,1453.0,45.1,151.0,0,0.0,0.0,0.0,0.0,0.0,
L54921,L,300.5,312.0,1478.0,39.0,153.0,0,0.0,0.0,0.0,0.0,0.0,
M22602,M,300.5,311.9,1323.0,57.9,155.0,0,0.0,0.0,0.0,0.0,0.0,
L54923,L,300.5,311.9,1710.0,28.4,158.0,0,0.0,0.0,0.0,0.0,0.0,
L54924,L,300.4,311.7,1314.0,59.5,160.0,0,0.0,0.0,0.0,0.0,0.0,
L54925,L,300.4,311.7,1460.0,39.6,162.0,0,0.0,0.0,0.0,0.0,0.0,
M22606,M,300.4,311.7,1508.0,45.4,164.0,0,0.0,0.0,0.0,0.0,0.0,
M22607,M,300.5,311.8,1331.0,55.3,167.0,0,0.0,0.0,0.0,0.0,0.0,
L54928,L,300.4,311.7,1515.0,47.4,170.0,0,0.0,0.0,0.0,0.0,0.0,
L54929,L,300.4,311.6,1674.0,33.0,172.0,0,0.0,0.0,0.0,0.0,0.0,
L54930,L,300.4,311.7,1444.0,51.2,174.0,0,0.0,0.0,0.0,0.0,0.0,
M22611,M,300.4,311.7,1398.0,42.6,176.0,0,0.0,0.0,0.0,0.0,0.0,
M22612,M,300.4,311.7,1832.0,24.2,179.0,0,0.0,0.0,0.0,0.0,0.0,
M22613,M,300.5,311.8,1591.0,42.0,182.0,0,0.0,0.0,0.0,0.0,0.0,
M22614,M,300.4,311.7,1478.0,39.9,185.0,0,0.0,0.0,0.0,0.0,0.0,
M22615,M,300.4,311.8,1362.0,47.6,188.0,0,0.0,0.0,0.0,0.0,0.0,
L54936,L,300.5,311.8,1368.0,57.9,191.0,1,0.0,0.0,0.0,1.0,0.0,
M22617,M,300.3,311.7,1723.0,28.3,193.0,0,0.0,0.0,0.0,0.0,0.0,
L54938,L,300.4,311.8,1689.0,30.8,196.0,0,0.0,0.0,0.0,0.0,0.0,
L54939,L,300.4,311.8,1272.0,59.2,198.0,1,0.0,0.0,0.0,1.0,0.0,
M22620,M,300.4,311.7,1511.0,33.0,200.0,0,0.0,0.0,0.0,0.0,0.0,
H37175,H,300.4,311.6,1715.0,30.8,203.0,0,0.0,0.0,0.0,0.0,0.0,
M22622,M,300.3,311.5,1400.0,43.8,0.0,0,0.0,0.0,0.0,0.0,0.0,
L54943,L,300.4,311.6,1200.0,76.6,3.0,1,0.0,0.0,1.0,0.0,0.0,
M22624,M,300.4,311.7,1555.0,38.7,5.0,0,0.0,0.0,0.0,0.0,0.0,
H37179,H,300.3,311.6,1427.0,56.2,8.0,0,0.0,0.0,0.0,0.0,0.0,
L54946,L,300.3,311.4,1318.0,52.7,13.0,0,0.0,0.0,0.0,0.0,0.0,
H37181,H,300.2,311.4,1319.0,54.6,15.0,0,0.0,0.0,0.0,0.0,0.0,
M22628,M,300.2,311.4,1960.0,20.9,20.0,0,0.0,0.0,0.0,0.0,0.0,
L54949,L,300.3,311.5,1552.0,38.9,23.0,0,0.0,0.0,0.0,0.0,0.0,
L54950,L,300.3,311.5,1548.0,32.2,25.0,0,0.0,0.0,0.0,0.0,0.0,
L54951,L,300.3,311.6,1709.0,29.5,27.0,0,0.0,0.0,0.0,0.0,0.0,
H37186,H,300.3,311.5,1464.0,41.0,29.0,0,0.0,0.0,0.0,0.0,0.0,
L54953,L,300.3,311.4,1759.0,24.8,34.0,0,0.0,0.0,0.0,0.0,0.0,
L54954,L,300.3,311.5,1634.0,31.9,36.0,0,0.0,0.0,0.0,0.0,0.0,
L54955,L,300.3,311.5,1663.0,33.6,38.0,0,0.0,0.0,0.0,0.0,0.0,
M22636,M,300.3,311.5,1445.0,47.3,40.0,0,0.0,0.0,0.0,0.0,0.0,
L54957,L,300.3,311.5,1695.0,25.6,43.0,0,0.0,0.0,0.0,0.0,0.0,
L54958,L,300.4,311.6,1517.0,39.0,45.0,0,0.0,0.0,0.0,0.0,0.0,
L54959,L,300.5,311.7,1811.0,26.8,47.0,0,0.0,0.0,0.0,0.0,0.0,
L54960,L,300.4,311.6,1815.0,23.5,49.0,0,0.0,0.0,0.0,0.0,0.0,
L54961,L,300.4,311.7,1513.0,40.0,51.0,0,0.0,0.0,0.0,0.0,0.0,
M22642,M,300.4,311.6,1518.0,36.4,53.0,0,0.0,0.0,0.0,0.0,0.0,
L54963,L,300.3,311.5,1667.0,28.8,56.0,0,0.0,0.0,0.0,0.0,0.0,
L54964,L,300.3,311.5,1403.0,60.1,58.0,0,0.0,0.0,0.0,0.0,0.0,
L54965,L,300.2,311.5,1383.0,42.1,60.0,0,0.0,0.0,0.0,0.0,0.0,
L54966,L,300.3,311.5,1466.0,46.2,62.0,0,0.0,0.0,0.0,0.0,0.0,
L54967,L,300.3,311.5,1378.0,47.5,64.0,0,0.0,0.0,0.0,0.0,0.0,
M22648,M,300.2,311.5,1547.0,40.9,66.0,0,0.0,0.0,0.0,0.0,0.0,
L54969,L,300.2,311.5,1495.0,38.5,69.0,0,0.0,0.0,0.0,0.0,0.0,
L54970,L,300.1,311.4,1729.0,29.3,71.0,0,0.0,0.0,0.0,0.0,0.0,
L54971,L,300.1,311.4,1418.0,47.7,73.0,0,0.0,0.0,0.0,0.0,0.0,
H37206,H,300.1,311.4,1485.0,40.4,75.0,0,0.0,0.0,0.0,0.0,0.0,
L54973,L,300.1,311.5,1434.0,40.8,80.0,0,0.0,0.0,0.0,0.0,0.0,
M22654,M,300.2,311.6,1415.0,55.8,82.0,0,0.0,0.0,0.0,0.0,0.0,
H37209,H,300.1,311.6,1674.0,29.6,85.0,0,0.0,0.0,0.0,0.0,0.0,
L54976,L,300.1,311.5,1454.0,52.4,90.0,0,0.0,0.0,0.0,0.0,0.0,
L54977,L,300.0,311.4,1476.0,39.0,92.0,0,0.0,0.0,0.0,0.0,0.0,
L54978,L,300.0,311.5,1812.0,28.3,94.0,0,0.0,0.0,0.0,0.0,0.0,
L54979,L,300.0,311.4,1374.0,41.9,96.0,0,0.0,0.0,0.0,0.0,0.0,
M22660,M,300.1,311.4,1524.0,40.6,98.0,0,0.0,0.0,0.0,0.0,0.0,
L54981,L,300.0,311.4,1383.0,49.6,101.0,0,0.0,0.0,0.0,0.0,0.0,
L54982,L,299.9,311.3,1429.0,58.2,103.0,0,0.0,0.0,0.0,0.0,0.0,
M22663,M,299.8,311.3,1517.0,41.2,105.0,0,0.0,0.0,0.0,0.0,0.0,
M22664,M,299.9,311.4,1480.0,44.9,108.0,0,0.0,0.0,0.0,0.0,0.0,
L54985,L,299.9,311.4,1706.0,28.8,111.0,0,0.0,0.0,0.0,0.0,0.0,
L54986,L,300.0,311.5,1349.0,48.6,113.0,0,0.0,0.0,0.0,0.0,0.0,
M22667,M,300.0,311.5,1451.0,49.0,115.0,0,0.0,0.0,0.0,0.0,0.0,
L54988,L,299.9,311.4,1627.0,36.7,118.0,0,0.0,0.0,0.0,0.0,0.0,
M22669,M,300.0,311.4,1537.0,35.4,120.0,0,0.0,0.0,0.0,0.0,0.0,
L54990,L,300.1,311.5,2218.0,17.0,123.0,0,0.0,0.0,0.0,0.0,0.0,
M22671,M,300.0,311.4,1466.0,39.0,125.0,0,0.0,0.0,0.0,0.0,0.0,
L54992,L,300.0,311.5,1666.0,32.0,128.0,0,0.0,0.0,0.0,0.0,0.0,
L54993,L,300.0,311.5,1455.0,41.7,130.0,0,0.0,0.0,0.0,0.0,0.0,
L54994,L,300.0,311.4,1927.0,24.6,132.0,0,0.0,0.0,0.0,0.0,0.0,
M22675,M,299.9,311.3,1703.0,28.4,134.0,0,0.0,0.0,0.0,0.0,0.0,
L54996,L,299.8,311.2,1533.0,35.9,137.0,0,0.0,0.0,0.0,0.0,0.0,
H37231,H,299.8,311.3,1785.0,25.4,139.0,0,0.0,0.0,0.0,0.0,0.0,
L54998,L,299.8,311.2,2142.0,16.6,144.0,0,0.0,0.0,0.0,0.0,0.0,
L54999,L,299.8,311.2,1369.0,46.2,146.0,0,0.0,0.0,0.0,0.0,0.0,
M22680,M,299.8,311.2,1706.0,29.2,148.0,0,0.0,0.0,0.0,0.0,0.0,
L55001,L,299.9,311.3,1802.0,24.4,151.0,0,0.0,0.0,0.0,0.0,0.0,
H37236,H,299.9,311.3,1413.0,41.8,153.0,0,0.0,0.0,0.0,0.0,0.0,
L55003,L,300.0,311.3,1484.0,53.2,158.0,0,0.0,0.0,0.0,0.0,0.0,
L55004,L,299.9,311.3,1535.0,38.1,160.0,0,0.0,0.0,0.0,0.0,0.0,
M22685,M,299.9,311.2,1579.0,35.5,162.0,0,0.0,0.0,0.0,0.0,0.0,
L55006,L,299.8,311.1,1300.0,64.2,165.0,0,0.0,0.0,0.0,0.0,0.0,
M22687,M,299.8,311.1,1452.0,44.3,167.0,0,0.0,0.0,0.0,0.0,0.0,
M22688,M,299.8,311.1,1562.0,35.7,170.0,0,0.0,0.0,0.0,0.0,0.0,
L55009,L,299.8,311.2,1664.0,28.3,173.0,0,0.0,0.0,0.0,0.0,0.0,
H37244,H,299.9,311.2,1495.0,35.8,175.0,0,0.0,0.0,0.0,0.0,0.0,
M22691,M,300.0,311.4,1533.0,42.6,180.0,0,0.0,0.0,0.0,0.0,0.0,
L55012,L,300.0,311.4,1484.0,37.0,183.0,0,0.0,0.0,0.0,0.0,0.0,
L55013,L,300.0,311.4,1604.0,38.7,185.0,0,0.0,0.0,0.0,0.0,0.0,
L55014,L,300.0,311.4,1483.0,45.6,187.0,0,0.0,0.0,0.0,0.0,0.0,
L55015,L,300.1,311.5,1549.0,34.7,189.0,0,0.0,0.0,0.0,0.0,0.0,
L55016,L,300.1,311.4,1604.0,35.0,191.0,0,0.0,0.0,0.0,0.0,0.0,
L55017,L,300.2,311.5,1685.0,31.0,193.0,0,0.0,0.0,0.0,0.0,0.0,
L55018,L,300.2,311.6,1372.0,49.2,195.0,0,0.0,0.0,0.0,0.0,0.0,
L55019,L,300.3,311.6,1374.0,47.4,197.0,0,0.0,0.0,0.0,0.0,0.0,
L55020,L,300.2,311.6,1606.0,31.0,199.0,0,0.0,0.0,0.0,0.0,0.0,
L55021,L,300.1,311.5,1471.0,47.2,201.0,0,0.0,0.0,0.0,0.0,0.0,
L55022,L,300.1,311.5,1659.0,31.1,203.0,0,0.0,0.0,0.0,0.0,0.0,
M22703,M,300.1,311.7,1400.0,48.5,205.0,0,0.0,0.0,0.0,0.0,0.0,
L55024,L,300.1,311.7,1503.0,42.6,208.0,0,0.0,0.0,0.0,0.0,0.0,
L55025,L,300.2,311.8,1798.0,23.2,210.0,0,0.0,0.0,0.0,0.0,0.0,
M22706,M,300.2,311.6,1608.0,35.0,212.0,0,0.0,0.0,0.0,0.0,0.0,
L55027,L,300.2,311.6,1322.0,50.9,215.0,0,0.0,0.0,0.0,0.0,0.0,
H37262,H,300.2,311.6,1547.0,37.7,217.0,0,0.0,0.0,0.0,0.0,0.0,
M22709,M,300.3,311.7,1374.0,47.9,222.0,1,1.0,0.0,0.0,0.0,0.0,
M22710,M,300.3,311.7,1447.0,36.8,0.0,0,0.0,0.0,0.0,0.0,0.0,
L55031,L,300.4,311.7,1373.0,47.2,3.0,0,0.0,0.0,0.0,0.0,0.0,
L55032,L,300.3,311.7,1515.0,37.5,5.0,0,0.0,0.0,0.0,0.0,0.0,
L55033,L,300.3,311.7,1317.0,56.5,7.0,0,0.0,0.0,0.0,0.0,0.0,
L55034,L,300.3,311.8,1551.0,37.2,9.0,0,0.0,0.0,0.0,0.0,0.0,
M22715,M,300.3,311.8,1592.0,32.1,11.0,0,0.0,0.0,0.0,0.0,0.0,
L55036,L,300.4,311.8,1433.0,42.2,14.0,0,0.0,0.0,0.0,0.0,0.0,
L55037,L,300.5,311.9,1432.0,43.1,16.0,0,0.0,0.0,0.0,0.0,0.0,
L55038,L,300.5,311.9,1350.0,51.7,18.0,0,0.0,0.0,0.0,0.0,0.0,
M22719,M,300.5,311.9,1370.0,44.8,20.0,0,0.0,0.0,0.0,0.0,0.0,
L55040,L,300.5,312.0,1415.0,44.6,23.0,0,0.0,0.0,0.0,0.0,0.0,
L55041,L,300.5,312.0,1498.0,42.9,25.0,0,0.0,0.0,0.0,0.0,0.0,
M22722,M,300.5,312.0,1382.0,54.1,27.0,0,0.0,0.0,0.0,0.0,0.0,
M22723,M,300.5,311.9,1511.0,44.5,30.0,0,0.0,0.0,0.0,0.0,0.0,
L55044,L,300.5,311.9,1330.0,59.5,33.0,0,0.0,0.0,0.0,0.0,0.0,
L55045,L,300.5,311.9,1383.0,50.5,35.0,0,0.0,0.0,0.0,0.0,0.0,
L55046,L,300.5,311.9,1431.0,49.4,37.0,0,0.0,0.0,0.0,0.0,0.0,
L55047,L,300.5,312.0,1461.0,38.1,39.0,0,0.0,0.0,0.0,0.0,0.0,
H37282,H,300.4,311.9,1438.0,46.7,41.0,0,0.0,0.0,0.0,0.0,1.0,
M22729,M,300.5,312.0,1779.0,27.7,46.0,0,0.0,0.0,0.0,0.0,0.0,
M22730,M,300.6,312.1,1293.0,52.3,49.0,0,0.0,0.0,0.0,0.0,0.0,
L55051,L,300.6,312.2,1308.0,54.7,52.0,0,0.0,0.0,0.0,0.0,0.0,
L55052,L,300.6,312.3,1532.0,37.2,54.0,0,0.0,0.0,0.0,0.0,0.0,
L55053,L,300.7,312.4,1470.0,38.6,56.0,0,0.0,0.0,0.0,0.0,0.0,
L55054,L,300.7,312.3,1548.0,37.9,58.0,0,0.0,0.0,0.0,0.0,0.0,
L55055,L,300.7,312.3,1898.0,24.0,60.0,0,0.0,0.0,0.0,0.0,0.0,
H37290,H,300.7,312.2,1335.0,49.0,62.0,0,0.0,0.0,0.0,0.0,0.0,
L55057,L,300.7,312.3,1420.0,53.8,67.0,0,0.0,0.0,0.0,0.0,0.0,
L55058,L,300.7,312.3,1418.0,49.0,69.0,0,0.0,0.0,0.0,0.0,0.0,
M22739,M,300.8,312.3,1535.0,40.3,71.0,0,0.0,0.0,0.0,0.0,0.0,
H37294,H,300.7,312.4,1457.0,47.2,74.0,0,0.0,0.0,0.0,0.0,0.0,
L55061,L,300.8,312.4,1493.0,39.1,79.0,0,0.0,0.0,0.0,0.0,0.0,
H37296,H,300.7,312.3,1670.0,27.3,81.0,0,0.0,0.0,0.0,0.0,0.0,
H37297,H,300.7,312.3,1446.0,45.4,86.0,0,0.0,0.0,0.0,0.0,0.0,
L55064,L,300.8,312.4,1465.0,59.1,91.0,1,0.0,0.0,1.0,0.0,0.0,
L55065,L,300.7,312.3,1590.0,36.3,93.0,0,0.0,0.0,0.0,0.0,0.0,
M22746,M,300.6,312.2,2174.0,18.5,95.0,0,0.0,0.0,0.0,0.0,0.0,
L55067,L,300.7,312.4,1590.0,37.9,98.0,0,0.0,0.0,0.0,0.0,0.0,
L55068,L,300.7,312.3,1577.0,33.2,100.0,0,0.0,0.0,0.0,0.0,0.0,
M22749,M,300.7,312.4,1371.0,61.7,102.0,0,0.0,0.0,0.0,0.0,0.0,
L55070,L,300.8,312.4,1767.0,25.6,105.0,0,0.0,0.0,0.0,0.0,0.0,
L55071,L,300.8,312.5,1517.0,39.2,107.0,0,0.0,0.0,0.0,0.0,0.0,
M22752,M,300.9,312.6,1555.0,40.6,109.0,0,0.0,0.0,0.0,0.0,0.0,
L55073,L,300.9,312.7,1416.0,43.8,112.0,0,0.0,0.0,0.0,0.0,0.0,
M22754,M,300.8,312.6,1588.0,35.6,114.0,0,0.0,0.0,0.0,0.0,0.0,
L55075,L,300.8,312.6,1422.0,50.0,117.0,0,0.0,0.0,0.0,0.0,0.0,
L55076,L,300.8,312.6,1376.0,53.6,119.0,0,0.0,0.0,0.0,0.0,0.0,
L55077,L,300.8,312.5,1434.0,50.7,121.0,0,0.0,0.0,0.0,0.0,0.0,
L55078,L,300.8,312.5,1423.0,47.3,123.0,0,0.0,0.0,0.0,0.0,0.0,
L55079,L,300.9,312.4,1364.0,52.5,125.0,0,0.0,0.0,0.0,0.0,0.0,
L55080,L,300.8,312.4,1825.0,23.8,127.0,0,0.0,0.0,0.0,0.0,0.0,
L55081,L,300.8,312.4,1365.0,44.5,129.0,0,0.0,0.0,0.0,0.0,0.0,
